[1013/141537:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/141709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/141741:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/141807:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/142229:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/142453:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/143258:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/163724:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164637:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/164803:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/165737:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/165855:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/170701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/171553:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/171701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/171947:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/172011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/174105:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/174242:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/174425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175039:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175410:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175740:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/175933:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180108:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180555:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180654:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/180915:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/182709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1013/183931:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/094124:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/095320:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/100101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101725:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/101842:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/104029:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/114411:ERROR:file_io.cc(30)] read: expected 4, observed 0
